id,releaseName,releaseDate,numOfCommits
1,0.9.0,2006-08-26,161
2,0.9.6,2006-11-29,267
3,0.9.7,2007-04-27,297
4,1.0.0,2007-08-28,226
5,1.0.1,2007-11-09,131
6,1.0.2,2008-02-18,149
7,1.1.0,2008-05-22,108
8,1.0.3,2008-07-23,105
9,1.2.0,2008-08-12,64
10,2.0.0-M1,2009-01-29,217
11,1.2.1,2009-03-18,156
12,2.0.0-M2,2009-06-03,268
13,2.0.0-M3,2009-10-12,512
14,1.2.2,2010-01-18,257
15,2.0.0-beta,2010-01-28,53
16,2.0.0-beta2,2010-02-27,101
17,2.0.0-beta3,2010-03-29,197
18,2.0.0,2010-04-22,76
19,2.0.1,2010-08-30,367
20,2.1.0,2011-02-21,369
21,2.1.1,2011-07-25,129
22,2.2.0,2012-02-20,184
23,2.2.1,2012-11-01,159
24,1.2.3,2013-04-17,80
25,2.2.2,2013-04-22,5
26,2.3.0,2013-11-24,68
27,2.4.0,2015-04-22,90
28,2.4.1,2016-02-21,59
29,2.4.2,2017-01-03,70
30,2.4.3,2018-06-12,22
31,3.1.0,2019-04-14,126
32,3.1.1,2020-02-03,12
33,3.1.2,2020-07-13,31
34,3.2.0,2021-05-14,171
35,3.2.1,2022-02-03,33
36,3.2.2,2022-03-16,9
37,4.0.0,2024-02-02,114
38,4.0.1,2024-09-19,4
